timestamp,RPM,SPEED,COOLANT_TEMP,ENGINE_LOAD,THROTTLE_POS,INTAKE_TEMP,MAF,FUEL_PRESSURE,TIMING_ADVANCE,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,O2_B1S1,FUEL_STATUS,RUN_TIME,DISTANCE_W_MIL,BAROMETRIC_PRESSURE,CONTROL_MODULE_VOLTAGE,AMBIENT_AIR_TEMP,FUEL_LEVEL
2024-06-15T07:30:00.000,500,0,25.198,9.4,2.08,22.17,0.5,358.8,6.85,15.62,12.46,0.23,2,0.0,15.0,101.29,14.04,19.16,68.0
2024-06-15T07:30:00.250,619.8,0,25.396,12.54,3.46,21.93,0.68,360.77,6.04,14.87,12.38,0.24,2,0.2,15.0,101.15,14.07,18.88,68.0
2024-06-15T07:30:00.500,835.5,0,25.594,7.3,5.21,23.3,0.9,350.69,9.16,15.97,12.32,0.57,2,0.5,15.0,101.07,14.02,19.07,68.0
2024-06-15T07:30:00.750,870.43,0.16,25.792,12.36,6.87,22.39,1.17,360.5,6.68,16.13,12.46,0.26,2,0.8,15.0,101.22,13.85,19.09,68.0
2024-06-15T07:30:01.000,987.91,0,25.990000000000002,21.57,7.38,23.37,2.78,370.31,9.69,15.23,12.82,0.31,2,1.0,15.0,101.04,14.07,18.97,68.0
2024-06-15T07:30:01.250,1033.3,0,26.188000000000002,24.37,9.05,23.35,2.95,368.64,5.88,17.1,12.98,0.17,2,1.2,15.0,101.16,14.25,19.0,68.0
2024-06-15T07:30:01.500,1011.26,0.71,26.386000000000003,25.16,10.38,22.93,2.67,374.33,9.94,25,12.76,0.1,2,1.5,15.0,101.11,13.89,19.02,68.0
2024-06-15T07:30:01.750,1082.38,0,26.584000000000003,23.07,9.93,22.96,2.65,371.19,6.96,20.97,12.78,0.1,2,1.8,15.0,101.22,13.84,18.89,68.0
2024-06-15T07:30:02.000,1217.89,0.05,26.782000000000004,21.81,10.49,22.41,3.49,371.95,8.85,25,12.85,0.23,2,2.0,15.0,101.09,13.9,18.84,68.0
2024-06-15T07:30:02.250,1215.6,0.09,26.980000000000004,27.35,11.44,23.78,3.6,378.69,5.01,18.6,12.97,0.69,2,2.2,15.0,101.15,14.17,18.91,68.0
2024-06-15T07:30:02.500,1022.62,0,27.178000000000004,33.9,11.27,23.45,4.01,382.61,4.68,20.17,13.05,0.28,2,2.5,15.0,101.21,14.19,18.93,68.0
2024-06-15T07:30:02.750,1028.03,0,27.376000000000005,29.98,13.13,23.77,3.36,373.78,6.35,20.77,12.94,0.55,2,2.8,15.0,101.16,13.91,19.05,68.0
2024-06-15T07:30:03.000,1218.77,0.16,27.574000000000005,29.68,12.67,22.99,4.12,373.33,8.43,15.04,13.85,0.23,2,3.0,15.0,101.33,13.99,18.95,68.0
2024-06-15T07:30:03.250,1301.02,0,27.772000000000006,33.1,14.98,23.28,4.48,382.47,6.45,19.08,13.3,0.1,2,3.2,15.0,101.17,13.91,19.0,68.0
2024-06-15T07:30:03.500,1222.13,0,27.970000000000006,34.7,16.19,22.6,4.74,387.71,7.95,13.82,13.8,0.17,2,3.5,15.0,101.15,13.9,19.16,68.0
2024-06-15T07:30:03.750,1113.74,0,28.168000000000006,34.33,14.99,23.79,4.83,383.17,6.39,13.18,13.41,0.28,2,3.8,15.0,101.12,14.03,18.86,68.0
